groupMetadataID,event,time,position.alt_msl,position.latitude,position.longitude,type
0f3cdf60-f1f6-11ee-bb00-fb353e7798cd,turn signal issue for vehicle behind,1691681613193473130,,,,['UNKNOWN']
0f3cdf60-f1f6-11ee-bb00-fb353e7798cd,EOR,1691681757898457608,,,,['OTHER']
