groupMetadataID,event,time,position.alt_msl,position.latitude,position.longitude,type
3a2a78cc-db21-11ee-a158-97f8443fd730,,1692285428730805434,,,,['ROUND_ABOUT']
3a2a78cc-db21-11ee-a158-97f8443fd730,,1692285557489544322,,,,['TRAFFIC_FAULT']
3a2a78cc-db21-11ee-a158-97f8443fd730,,1692285657626851701,,,,['TRAFFIC_LIGHT']
3a2a78cc-db21-11ee-a158-97f8443fd730,,1692285748188877426,,,,['TRAFFIC_FAULT']
3a2a78cc-db21-11ee-a158-97f8443fd730,downhill,1692285822729156476,,,,['TRAFFIC_LIGHT']
3a2a78cc-db21-11ee-a158-97f8443fd730,,1692285851264609963,,,,['OBJ_DETECTION']
3a2a78cc-db21-11ee-a158-97f8443fd730,,1692285861364269801,,,,['ROUND_ABOUT']
3a2a78cc-db21-11ee-a158-97f8443fd730,,1692286052194172324,,,,['OBJ_DETECTION']
3a2a78cc-db21-11ee-a158-97f8443fd730,,1692286149705640628,,,,['RAILROAD']
3a2a78cc-db21-11ee-a158-97f8443fd730,,1692286482569333739,,,,['OBJ_DETECTION']
3a2a78cc-db21-11ee-a158-97f8443fd730,,1692286499876566374,,,,['OBJ_DETECTION']
3a2a78cc-db21-11ee-a158-97f8443fd730,,1692286515937959889,,,,['OBJ_DETECTION']
3a2a78cc-db21-11ee-a158-97f8443fd730,,1692286594664680803,,,,['OBJ_DETECTION']
3a2a78cc-db21-11ee-a158-97f8443fd730,,1692286625734471560,,,,['TRAFFIC_FAULT']
3a2a78cc-db21-11ee-a158-97f8443fd730,,1692286666557955197,,,,['LOCALIZATION']
3a2a78cc-db21-11ee-a158-97f8443fd730,,1692286734949445512,,,,['LOCALIZATION']
3a2a78cc-db21-11ee-a158-97f8443fd730,"uphill
",1692286816742951825,,,,['UNKNOWN']
3a2a78cc-db21-11ee-a158-97f8443fd730,,1692287227259901919,,,,['RAILROAD']
3a2a78cc-db21-11ee-a158-97f8443fd730,end of route,1692287263415877080,,,,['OTHER']
