groupMetadataID,time,cameraId,containLights,trafficLight,trafficLightDebug.distanceToStopLine
8adb6498-f04d-11ee-b981-fb353e7798cd,1694534955297006585,CAMERA_FRONT_LONG,,,
8adb6498-f04d-11ee-b981-fb353e7798cd,1694534955469547168,CAMERA_FRONT_LONG,,,
8adb6498-f04d-11ee-b981-fb353e7798cd,1694534955673799997,CAMERA_FRONT_LONG,,,
8adb6498-f04d-11ee-b981-fb353e7798cd,1694534955817981332,CAMERA_FRONT_LONG,,,
8adb6498-f04d-11ee-b981-fb353e7798cd,1694534955982774298,CAMERA_FRONT_LONG,,,
8adb6498-f04d-11ee-b981-fb353e7798cd,1694534956187405850,CAMERA_FRONT_LONG,,,
8adb6498-f04d-11ee-b981-fb353e7798cd,1694534956364826720,CAMERA_FRONT_LONG,,,
8adb6498-f04d-11ee-b981-fb353e7798cd,1694534956552481301,CAMERA_FRONT_LONG,,,
8adb6498-f04d-11ee-b981-fb353e7798cd,1694534956719443931,CAMERA_FRONT_LONG,,,
8adb6498-f04d-11ee-b981-fb353e7798cd,1694534956871627923,CAMERA_FRONT_LONG,,,
8adb6498-f04d-11ee-b981-fb353e7798cd,1694534957063737179,CAMERA_FRONT_LONG,,,
8adb6498-f04d-11ee-b981-fb353e7798cd,1694534957231467999,CAMERA_FRONT_LONG,,,
8adb6498-f04d-11ee-b981-fb353e7798cd,1694534957388312327,CAMERA_FRONT_LONG,,,
8adb6498-f04d-11ee-b981-fb353e7798cd,1694534957561488139,CAMERA_FRONT_LONG,,,
8adb6498-f04d-11ee-b981-fb353e7798cd,1694534957722478564,CAMERA_FRONT_LONG,,,
8adb6498-f04d-11ee-b981-fb353e7798cd,1694534957873897491,CAMERA_FRONT_LONG,,,
8adb6498-f04d-11ee-b981-fb353e7798cd,1694534958078471524,CAMERA_FRONT_LONG,,,
8adb6498-f04d-11ee-b981-fb353e7798cd,1694534958272503071,CAMERA_FRONT_LONG,,,
8adb6498-f04d-11ee-b981-fb353e7798cd,1694534958478760955,CAMERA_FRONT_LONG,,,
