groupMetadataID,vehicleID,Route,driver,operator,experimentID,other.Objective,other.MapVersion,other.Weather_Lighting,other.Weather_Precipitation,other.StackVersion,other.Weather,other.Map,other.Notes
7948628e-f20b-11ee-bb0f-fb353e7798cd,Van2,Green,3,2,1692718087,Single Vehicle,V3,Clear,No precipitation,1.2.1,,,
fa852f30-f210-11ee-bb10-fb353e7798cd,Van2,Green,3,2,1692720346,Single Vehicle,V3,Clear,No precipitation,1.2.1,,,
986a0b90-f215-11ee-bb15-fb353e7798cd,Van2,Green,3,2,1692721184,Single Vehicle,V3,Clear,No precipitation,1.2.1,,,
57a2192c-f21a-11ee-bb17-fb353e7798cd,Van2,Green,3,2,1692722030,Single Vehicle,V3,Clear,No precipitation,1.2.1,,,
cd11fc28-f21e-11ee-bb1c-fb353e7798cd,Van2,Green,3,2,1692723072,Single Vehicle,V3,Clear,No precipitation,1.2.1,,,
b2f58080-f223-11ee-bb20-fb353e7798cd,Van2,Green,3,2,1692724389,Single Vehicle,V3,Clear,No precipitation,1.2.1,,,
2f2939cc-f228-11ee-bb28-fb353e7798cd,Van2,Green,3,2,1692725685,Single Vehicle,V3,Clear,No precipitation,1.2.1,,,
f6ac3c82-a445-11ee-88ec-eb6a8d5269b4,OUPacifica,,1,,14,,,,,,"80 F, clear, dry",unknown,
45ad3a9a-edb4-11ee-9385-ef789ffde1d3,Van2,Blue,3,2,1692887823,Single Vehicle,V2f,Cloudy,Light Rain,1.2.1,,,
e8a8b2be-edbf-11ee-9385-ef789ffde1d3,Van2,Blue,3,2,1692891046,Single Vehicle,V2f,Cloudy,Light Rain,1.2.1,,,
7613801a-edcb-11ee-9385-ef789ffde1d3,Van2,Blue,3,2,1692896526,Single Vehicle,V2f,Cloudy,Light Rain,1.2.1,,,
3ce8a358-edd8-11ee-9385-ef789ffde1d3,Van2,Blue,3,2,1692900817,Single Vehicle,V2f,Cloudy,Light Rain,1.2.1,,,
3d2d29ec-ef95-11ee-b966-fb353e7798cd,Van1,Red,3,1,1693318866,Single Vehicle,V3,Clear,No precipitation,1.2.1,,,
