groupMetadataID,start_time,end_time,nummsgs,filebase,folder,vehicleID,experimentID,route,isOneMode,modes,auto_count,manual_count,percent_auto
559495ca-d270-11ee-b437-336917683bb8,1.69808e+18,1.69808e+18,1935237,/Deployment_2_SEOhio/Blue Route/OU Pacifica/1698078445/20231023122725.record.00000,/Deployment_2_SEOhio/Blue Route/OU Pacifica/1698078445/20231023122725.record.00000,OUPacifica,32,Blue Route,False,both,82773,16765,0.8315718620024514
c338788a-d324-11ee-b437-336917683bb8,1.69808e+18,1.69808e+18,1890985,/Deployment_2_SEOhio/RedRoute/OU Pacifica/1698081075/20231023131115.record.00000,/Deployment_2_SEOhio/RedRoute/OU Pacifica/1698081075/20231023131115.record.00000,OUPacifica,33,RedRoute,False,both,90687,6359,0.9344743729777631
feaf2ba8-d28d-11ee-b437-336917683bb8,1.69825e+18,1.69825e+18,1897000,/Deployment_2_SEOhio/Blue Route/OU Pacifica/1698251665/20231025123425.record.00000,/Deployment_2_SEOhio/Blue Route/OU Pacifica/1698251665/20231025123425.record.00000,OUPacifica,34,Blue Route,False,both,87039,10230,0.8948277457360516
c9c6856c-d33c-11ee-b437-336917683bb8,1.69825e+18,1.69826e+18,1868859,/Deployment_2_SEOhio/RedRoute/OU Pacifica/1698254838/20231025132718.record.00000,/Deployment_2_SEOhio/RedRoute/OU Pacifica/1698254838/20231025132718.record.00000,OUPacifica,35,RedRoute,False,both,89940,6000,0.9374609130706691
3c415ade-d353-11ee-b437-336917683bb8,1.69835e+18,1.69835e+18,846847,/Deployment_2_SEOhio/GreenRoute/OU Pacifica/1698347206/20231026150646.record.00000,/Deployment_2_SEOhio/GreenRoute/OU Pacifica/1698347206/20231026150646.record.00000,OUPacifica,36,GreenRoute,False,both,42063,1299,0.9700428947004289
88b0613a-d35d-11ee-b437-336917683bb8,1.69835e+18,1.69835e+18,861350,/Deployment_2_SEOhio/GreenRoute/OU Pacifica/1698348088/20231026152128.record.00000,/Deployment_2_SEOhio/GreenRoute/OU Pacifica/1698348088/20231026152128.record.00000,OUPacifica,37,GreenRoute,False,both,42945,1161,0.9736770507413958
a253145a-d2a6-11ee-b437-336917683bb8,1.70595e+18,1.70595e+18,2104931,/Deployment_2_SEOhio/Blue Route/OU Pacifica/1705951739/20240122142859.record.00000,/Deployment_2_SEOhio/Blue Route/OU Pacifica/1705951739/20240122142859.record.00000,OUPacifica,38,Blue Route,False,both,69081,39344,0.6371316578279917
787d9684-d2c2-11ee-b437-336917683bb8,1.70595e+18,1.70596e+18,1918581,/Deployment_2_SEOhio/Blue Route/OU Pacifica/1705954227/20240122151027.record.00000,/Deployment_2_SEOhio/Blue Route/OU Pacifica/1705954227/20240122151027.record.00000,OUPacifica,39,Blue Route,False,both,76291,22280,0.7739700317537612
9830d896-d2dc-11ee-b437-336917683bb8,1.7063e+18,1.7063e+18,2048925,/Deployment_2_SEOhio/Blue Route/OU Pacifica/1706299233/20240126150033.record.00000,/Deployment_2_SEOhio/Blue Route/OU Pacifica/1706299233/20240126150033.record.00000,OUPacifica,40,Blue Route,False,both,67217,37828,0.6398876671902518
286c70cc-d2f7-11ee-b437-336917683bb8,1.7063e+18,1.7063e+18,2146838,/Deployment_2_SEOhio/Blue Route/OU Pacifica/1706301712/20240126154152.record.00000,/Deployment_2_SEOhio/Blue Route/OU Pacifica/1706301712/20240126154152.record.00000,OUPacifica,41,Blue Route,False,both,72444,37582,0.6584261901732318
